Top pages,Clicks,Impressions,CTR,Position
https://sd18sports.com/discounts?page=2,0,5,0%,15.2
https://sd18sports.com/productdetails/sd18-olive-soft-grey-hoodie?size=1,0,4,0%,3.75
https://sd18sports.com/discounts?page=9,0,4,0%,4.25
https://sd18sports.com/productdetails/sd18-pale-brown-color-cap,0,4,0%,7
https://sd18sports.com/productdetails/blue-fleece-hoodie?size=2,0,4,0%,7.5
https://sd18sports.com/productdetails/premium-brown-black-cap-11596,0,4,0%,8.25
https://sd18sports.com/productdetails/sky-taiwan-velvet-tracksuit?size=1,0,4,0%,10.5
https://sd18sports.com/productdetails/sd18-pink-premium-polo-t-shirt,0,3,0%,5.33
https://sd18sports.com/productdetails/premium-beige-chocolate-cap-12680,0,3,0%,5.67
https://sd18sports.com/productdetails/sd18-blue-football-jersey,0,3,0%,10.33
https://sd18sports.com/productdetails/sd18-polo-t-shir,0,3,0%,16
https://sd18sports.com/index,0,2,0%,1
https://sd18sports.com/productdetails/sd18-green-t-hole-cap,0,2,0%,1
https://sd18sports.com/subcategory/leg-guard?page=2,0,2,0%,2
https://sd18sports.com/productdetails/sd18-hip-hop-cap,0,2,0%,3
https://sd18sports.com/productdetails/sd18-test-wicket-keeping-leg-guard,0,2,0%,4
https://sd18sports.com/productdetails/sd18-green-premium-polo-t-shirt,0,2,0%,4.5
https://sd18sports.com/new-arrival?page=4,0,2,0%,6
https://sd18sports.com/productdetails/sd18-blue-t-hole-cap,0,2,0%,6
https://sd18sports.com/productdetails/sd18-black-basic-polo-t-shirt,0,2,0%,6.5
https://sd18sports.com/productdetails/sd18-tan-brown-soft-grey-hoodie?size=1,0,2,0%,6.5
https://sd18sports.com/productdetails/premium-niongreen-black-cap-12472,0,2,0%,7.5
https://sd18sports.com/productdetails/sd18-xtreme-thigh-pad,0,2,0%,7.5
https://sd18sports.com/productdetails/black-orange-fleece-hoodie-,0,2,0%,10
https://sd18sports.com/productdetails/sd18-red-football-jersey?size=1,0,2,0%,14
https://sd18sports.com/productdetails/sd18-olive-soft-grey-hoodie?size=2,0,2,0%,41
https://sd18sports.com/most-selling-product?page=5,0,1,0%,1
https://sd18sports.com/productdetails/sd18-match-lite-elbow?size=16,0,1,0%,1
